merchant,description,amount,category,date,timestamp
School Fee,certification cost,19869.39,EDUCATION,2024-11-01,2024-11-01 10:09:56
Postal Service,donation,100.0,MISCELLANEOUS,2024-08-16,2024-08-16 10:09:56
BMTC,Mobile Banking - bus ticket,71.15,TRANSPORTATION,2025-10-02,2025-10-02 10:09:56
IOCL,parking charges,2000.0,TRANSPORTATION,2024-06-17,2024-06-17 10:09:56
Canteen,breakfast delivery,200.0,FOOD_DINING,2024-12-27,2024-12-27 10:09:56
Ola,monthly pass,181.66,TRANSPORTATION,2025-08-05,2025-08-05 10:09:56
Max Fashion,medicine purchase,200.0,SHOPPING,2025-10-02,2025-10-02 10:09:56
SBI Mutual Fund,IMPS Payment - systematic investment,210075.15,INVESTMENT,2025-10-14,2025-10-14 10:09:56
KSEB,QR Code Payment - mobile recharge,800.0,UTILITIES,2025-08-08,2025-08-08 10:09:56
Videocon D2H,cable bill,1138.35,UTILITIES,2025-07-27,2025-07-27 10:09:56
Disney+ Hotstar,netflix payment,799.0,ENTERTAINMENT,2024-11-23,2024-11-23 10:09:56
REPAIR SERVICE,other charges,1000.0,MISCELLANEOUS,2025-08-27,2025-08-27 10:09:56
ICICI Prudential,investment,76526.37,INVESTMENT,2024-07-13,2024-07-13 10:09:56
Airtel,electricity bill,2000.0,UTILITIES,2024-11-11,2024-11-11 10:09:56
Gym,Net Banking - doctor consultation,10337.69,HEALTHCARE,2024-08-13,2024-08-13 10:09:56
Aditya Birla Sun Life,investment,25000.0,INVESTMENT,2025-09-02,2025-09-02 10:09:56
Spotify,QR Code Payment - gaming,191.94,ENTERTAINMENT,2025-04-30,2025-04-30 10:09:56
Amazon Prime,IMPS Payment - netflix pymnt,1876.74,ENTERTAINMENT,2025-04-03,2025-04-03 10:09:56
Library,online course,1000.0,EDUCATION,2024-09-24,2024-09-24 10:09:56
Life Insurance,share trading,5000.0,INVESTMENT,2024-05-04,2024-05-04 10:09:56
Family Doctor,Wallet Payment - medical emergency,3080.26,HEALTHCARE,2025-01-17,2025-01-17 10:09:56
Training,workshop fee,27897.16,EDUCATION,2024-07-12,2024-07-12 10:09:56
Gaming Zone,Net Banking - music subscription,484.12,ENTERTAINMENT,2025-04-24,2025-04-24 10:09:56
KSEB Online,cable bill,251.7,UTILITIES,2025-04-06,2025-04-06 10:09:56
Pathology Lab,diagnostic test,500.0,HEALTHCARE,2025-10-03,2025-10-03 10:09:56
BakeryShop,canteen recharge,150.0,FOOD_DINING,2025-03-04,2025-03-04 10:09:56
Legal Services,Wallet Payment - repair work,19306.09,MISCELLANEOUS,2024-08-04,2024-08-04 10:09:56
Medical Store,grocery shopping,3000.0,SHOPPING,2024-12-26,2024-12-26 10:09:56
Repair Service,Wallet Payment - service fee,100.0,MISCELLANEOUS,2025-07-28,2025-07-28 10:09:56
School Fee,certification cost,69662.93,EDUCATION,2025-10-08,2025-10-08 10:09:56
Certification,training program,15000.0,EDUCATION,2024-05-14,2024-05-14 10:09:56
Tax Payment,service fee,2000.0,MISCELLANEOUS,2024-10-12,2024-10-12 10:09:56
Videocon D2H,cable bill,5000.0,UTILITIES,2025-05-20,2025-05-20 10:09:56
Voot,netflix payment,199.0,ENTERTAINMENT,2024-11-13,2024-11-13 10:09:56
Disney+ Hotstar,movie ticket,1499.0,ENTERTAINMENT,2025-05-24,2025-05-24 10:09:56
Apollo Hospital,dental treatment,223.05,HEALTHCARE,2025-07-06,2025-07-06 10:09:56
Myntra,mobile purchase,32719.93,SHOPPING,2024-11-07,2024-11-07 10:09:56
Coursera,Wallet Payment - tuition fee,94160.82,EDUCATION,2024-09-27,2024-09-27 10:09:56
Exam Fee,course fee,50000.0,EDUCATION,2024-06-26,2024-06-26 10:09:56
Myntra,laptop buying,1000.0,SHOPPING,2024-11-12,2024-11-12 10:09:56
ALTBalaji,IMPS Payment - gaming subscription,337.84,ENTERTAINMENT,2025-09-10,2025-09-10 10:09:56
Vedantu,Debit Card Payment - school fee,10000.0,EDUCATION,2024-11-03,2024-11-03 10:09:56
kolkata metro,train ticket,3300.55,TRANSPORTATION,2025-07-30,2025-07-30 10:09:56
McDonalds,office lunch,459.64,FOOD_DINING,2025-05-02,2025-05-02 10:09:56
McDonalds,lunch order,200.0,FOOD_DINING,2024-06-15,2024-06-15 10:09:56
Dhaba Express,breakfast delivery,250.0,FOOD_DINING,2025-04-26,2025-04-26 10:09:56
Adventure Park,music subscription,127.92,ENTERTAINMENT,2025-09-29,2025-09-29 10:09:56
Videocon D2H,mobile recharge,5000.0,UTILITIES,2024-10-03,2024-10-03 10:09:56
Unacademy,school fee,4800.99,EDUCATION,2024-06-16,2024-06-16 10:09:56
GoAir,train ticket,163.34,TRANSPORTATION,2024-12-07,2024-12-07 10:09:56
Charity,maintenance,6773.76,MISCELLANEOUS,2025-05-13,2025-05-13 10:09:56
Axis Mutual Fund,RTGS Transfer - portfolio investment,25000.0,INVESTMENT,2024-12-31,2024-12-31 10:09:56
McDonalds,QR Code Payment - lunch order,340.4,FOOD_DINING,2024-06-02,2024-06-02 10:09:56
ATM Withdrawal,cash withdrawal,500.0,MISCELLANEOUS,2025-01-29,2025-01-29 10:09:56
School Fee,Credit Card Payment - school fee,39358.73,EDUCATION,2024-07-08,2024-07-08 10:09:56
exam fee,Debit Card Payment - training program,10000.0,EDUCATION,2025-09-20,2025-09-20 10:09:56
ZARA,laptop buying,10316.41,SHOPPING,2024-07-08,2024-07-08 10:09:56
College Fee,school fee,25000.0,EDUCATION,2025-03-27,2025-03-27 10:09:56
Cleaning Service.com,miscellaneous expense,100.0,MISCELLANEOUS,2025-03-13,2025-03-13 10:09:56
Shell,IMPS Payment - bus ticket,890.18,TRANSPORTATION,2025-08-04,2025-08-04 10:09:56
Flipkart,household items,10000.0,SHOPPING,2024-09-27,2024-09-27 10:09:56
Pharmacy,health insurance,2257.02,HEALTHCARE,2025-09-24,2025-09-24 10:09:56
Seminar,tuition fee,54309.96,EDUCATION,2025-08-08,2025-08-08 10:09:56
Wellness Center,diagnostic test,11684.17,HEALTHCARE,2025-07-16,2025-07-16 10:09:56
KOTAK SECURITIES,investment,29201.52,INVESTMENT,2025-07-26,2025-07-26 10:09:56
BYJU'S,online course,15000.0,EDUCATION,2025-01-17,2025-01-17 10:09:56
Disney+ Hotstar,show tickets,299.0,ENTERTAINMENT,2024-09-14,2024-09-14 10:09:56
Bikanervala,office lunch,200.0,FOOD_DINING,2024-09-20,2024-09-20 10:09:56
Lifestyle,laptop buying,48069.29,SHOPPING,2024-07-04,2024-07-04 10:09:56
Printing,service fee,5000.0,MISCELLANEOUS,2025-08-22,2025-08-22 10:09:56
Pathology Lab,doctor consultation,10000.0,HEALTHCARE,2024-10-20,2024-10-20 10:09:56
Adventure Park,gaming,1499.0,ENTERTAINMENT,2025-01-10,2025-01-10 10:09:56
Adventure Park,prime subscription,299.0,ENTERTAINMENT,2024-11-17,2024-11-17 10:09:56
Den Networks,society dues,976.85,UTILITIES,2024-11-13,2024-11-13 10:09:56
Coaching Center Online,Mobile Banking - certification cost,57639.82,EDUCATION,2025-07-11,2025-07-11 10:09:56
Pathology Lab,dental treatment,9038.75,HEALTHCARE,2025-07-12,2025-07-12 10:09:56
Bowling Alley,netflix payment,1678.47,ENTERTAINMENT,2024-09-08,2024-09-08 10:09:56
Gym,Mobile Banking - medicine purchase,6361.37,HEALTHCARE,2025-09-29,2025-09-29 10:09:56
Cinema Hall,Debit Card Payment - entertainment,399.0,ENTERTAINMENT,2025-01-06,2025-01-06 10:09:56
TAX PAYMENT,Debit Card Payment - maintenance,10000.0,MISCELLANEOUS,2025-07-02,2025-07-02 10:09:56
Wedding Expenses,NEFT Transfer - service charges,34815.18,MISCELLANEOUS,2024-07-12,2024-07-12 10:09:56
Exam Fee.com,course fee,58213.55,EDUCATION,2025-06-08,2025-06-08 10:09:56
Vistara,uber ride,300.0,TRANSPORTATION,2024-12-01,2024-12-01 10:09:56
SBI Mutual Fund,stock purchase,1000.0,INVESTMENT,2024-11-22,2024-11-22 10:09:56
Family Doctor,doctor consultation,7718.66,HEALTHCARE,2025-07-17,2025-07-17 10:09:56
BPCL,monthly pass,2564.02,TRANSPORTATION,2024-06-12,2024-06-12 10:09:56
Petrol Pump,train ticket,1096.12,TRANSPORTATION,2025-02-20,2025-02-20 10:09:56
UTIAMC,share trading,10000.0,INVESTMENT,2025-01-08,2025-01-08 10:09:56
SpiceJet,toll payment,86.89,TRANSPORTATION,2025-10-04,2025-10-04 10:09:56
Hathway,Net Banking - gas bill,7611.36,UTILITIES,2024-11-04,2024-11-04 10:09:56
Cleaning Service,RTGS Transfer - miscellaneous expense,45469.65,MISCELLANEOUS,2024-08-20,2024-08-20 10:09:56
Bakery Shop,food court payment,250.0,FOOD_DINING,2024-05-14,2024-05-14 10:09:56
BSNL,maintenance charges,5000.0,UTILITIES,2025-06-25,2025-06-25 10:09:56
Medical Store,dental treatment,10000.0,HEALTHCARE,2024-12-13,2024-12-13 10:09:56
Metro Card,toll payment,300.0,TRANSPORTATION,2024-12-07,2024-12-07 10:09:56
GoAir,parking charges,120.0,TRANSPORTATION,2025-06-25,2025-06-25 10:09:56
Shell,uber ride,1072.65,TRANSPORTATION,2025-04-06,2025-04-06 10:09:56
Parking Fee,parking charges,3428.28,TRANSPORTATION,2025-04-30,2025-04-30 10:09:56
Supermarket,laptop buying,500.0,SHOPPING,2025-05-06,2025-05-06 10:09:56
BPCL,train ticket,4685.36,TRANSPORTATION,2024-06-11,2024-06-11 10:09:56
Unacademy,course fee,56295.25,EDUCATION,2024-11-02,2024-11-02 10:09:56
Kotak Securities,systematic investment,336048.3,INVESTMENT,2024-10-22,2024-10-22 10:09:56
Kolkata Metro,monthly pass,2283.35,TRANSPORTATION,2024-05-19,2024-05-19 10:09:56
Uniqlo,medicine purchase,11904.77,SHOPPING,2024-07-29,2024-07-29 10:09:56
Taxi Service,Wallet Payment - train ticket,900.12,TRANSPORTATION,2025-10-09,2025-10-09 10:09:56
Vedantu,school fee,1000.0,EDUCATION,2025-03-27,2025-03-27 10:09:56
Axis Mutual Fund,life insurance premium,2000.0,INVESTMENT,2024-12-05,2024-12-05 10:09:56
Water Board,mobile recharge,2389.66,UTILITIES,2024-12-07,2024-12-07 10:09:56
Government Services,repair work,2504.83,MISCELLANEOUS,2025-01-26,2025-01-26 10:09:56
KSEB India,dth recharge,1563.63,UTILITIES,2025-09-06,2025-09-06 10:09:56
Pizza Hut,mess fees,800.0,FOOD_DINING,2024-05-25,2024-05-25 10:09:56
Bowling Alley Online,Mobile Banking - movie ticket,693.13,ENTERTAINMENT,2024-08-14,2024-08-14 10:09:56
Library,online course,61228.8,EDUCATION,2024-05-25,2024-05-25 10:09:56
Physiotherapy,medicine purchase,9060.1,HEALTHCARE,2024-12-15,2024-12-15 10:09:56
Canteen,party order,400.0,FOOD_DINING,2024-04-27,2024-04-27 10:09:56
AMAZON,cosmetics,1000.0,SHOPPING,2024-07-29,2024-07-29 10:09:56
Disney+ Hotstar,prime subscription,799.0,ENTERTAINMENT,2025-02-15,2025-02-15 10:09:56
Aditya Birla Sun Life,mutual fund SIP,11878.81,INVESTMENT,2025-05-29,2025-05-29 10:09:56
MAINTENANCE,gas bill,2686.67,UTILITIES,2024-10-16,2024-10-16 10:09:56
IRCTC,Mobile Banking - train ticket,4469.46,TRANSPORTATION,2025-06-17,2025-06-17 10:09:56
Physiotherapy,Mobile Banking - diagnostic test,1000.0,HEALTHCARE,2025-03-22,2025-03-22 10:09:56
zee5,concert booking,399.0,ENTERTAINMENT,2024-06-28,2024-06-28 10:09:56
Pizza Hut,NEFT Transfer - food delivery,500.0,FOOD_DINING,2024-07-29,2024-07-29 10:09:56
Certification.com,course fee,81950.79,EDUCATION,2025-05-22,2025-05-22 10:09:56
DTC Store,fuel refill,4668.9,TRANSPORTATION,2024-12-27,2024-12-27 10:09:56
Toll Plaza,petrol payment,150.0,TRANSPORTATION,2025-01-08,2025-01-08 10:09:56
Canteen,RTGS Transfer - office lunch,116.86,FOOD_DINING,2024-11-14,2024-11-14 10:09:56
Burger King Ltd,food delivery,439.63,FOOD_DINING,2024-09-24,2024-09-24 10:09:56
KSEB,UPI Payment - internet bill,300.0,UTILITIES,2024-06-16,2024-06-16 10:09:56
Seminar,school fee,29580.25,EDUCATION,2024-12-26,2024-12-26 10:09:56
Bikanervala,NEFT Transfer - canteen recharge,400.0,FOOD_DINING,2025-04-17,2025-04-17 10:09:56
Fun Republic,netflix pymnt,644.82,ENTERTAINMENT,2024-12-01,2024-12-01 10:09:56
Eye Specialist,IMPS Payment - pharmacy,4081.72,HEALTHCARE,2025-07-30,2025-07-30 10:09:56
MSEB,society dues,1798.07,UTILITIES,2024-09-28,2024-09-28 10:09:56
Upstox,stock purchase,5000.0,INVESTMENT,2025-07-17,2025-07-17 10:09:56
Taxi Service,QR Code Payment - uber ride,2000.0,TRANSPORTATION,2024-07-05,2024-07-05 10:09:56
ATM Withdrawal,Debit Card Payment - maintenance,46089.26,MISCELLANEOUS,2025-09-06,2025-09-06 10:09:56
Toll Plaza Store,toll payment,577.96,TRANSPORTATION,2025-06-21,2025-06-21 10:09:56
Government Services,government fee,500.0,MISCELLANEOUS,2025-10-13,2025-10-13 10:09:56
Nykaa.com,RTGS Transfer - laptop buying,15000.0,SHOPPING,2025-01-18,2025-01-18 10:09:56
Disney+ Hotstar,prime subscription,991.77,ENTERTAINMENT,2024-04-28,2024-04-28 10:09:56
Water Park,movie ticket,149.0,ENTERTAINMENT,2025-08-15,2025-08-15 10:09:56
Zomato,NEFT Transfer - food court payment,249.52,FOOD_DINING,2025-01-18,2025-01-18 10:09:56
Behrouz Biryani,party order,744.79,FOOD_DINING,2024-06-28,2024-06-28 10:09:56
Dhaba Express,QR Code Payment - food delivery,115.13,FOOD_DINING,2024-05-16,2024-05-16 10:09:56
Cleaning Service,government fee,5343.18,MISCELLANEOUS,2024-12-13,2024-12-13 10:09:56
IOCL,bus ticket,2114.47,TRANSPORTATION,2025-09-16,2025-09-16 10:09:56
INOX,entertainment,1634.74,ENTERTAINMENT,2025-04-22,2025-04-22 10:09:56
TRAINING,training program,5000.0,EDUCATION,2024-04-24,2024-04-24 10:09:56
Dish TV,dth rchg,2484.47,UTILITIES,2025-03-05,2025-03-05 10:09:56
Franklin Templeton,mutual fund SIP,320407.06,INVESTMENT,2025-09-03,2025-09-03 10:09:56
Uniqlo,fashion shopping,13635.57,SHOPPING,2024-06-22,2024-06-22 10:09:56
Myntra,Net Banking - fashion shopping,500.0,SHOPPING,2025-05-22,2025-05-22 10:09:56
Printing,other charges,4096.73,MISCELLANEOUS,2024-08-26,2024-08-26 10:09:56
Sony LIV.com,gaming subscription,499.0,ENTERTAINMENT,2025-08-31,2025-08-31 10:09:56
Dominos,food court payment,248.48,FOOD_DINING,2025-02-03,2025-02-03 10:09:56
Family Doctor,pharmacy,19830.93,HEALTHCARE,2024-08-22,2024-08-22 10:09:56
Uber Ltd,UPI Payment - flight booking,4121.53,TRANSPORTATION,2024-05-02,2024-05-02 10:09:56
Dhaba Express,party order,615.1,FOOD_DINING,2024-06-24,2024-06-24 10:09:56
BookMyShow,prime subscription,1848.47,ENTERTAINMENT,2024-08-24,2024-08-24 10:09:56
Uniqlo,mobile purchase,15000.0,SHOPPING,2025-01-13,2025-01-13 10:09:56
Legal Services,UPI Payment - gift purchase,555.62,MISCELLANEOUS,2024-12-16,2024-12-16 10:09:56
Term Insurance Ltd,portfolio investment,114801.17,INVESTMENT,2024-08-16,2024-08-16 10:09:56
GoAir,UPI Payment - toll pymnt,1000.0,TRANSPORTATION,2024-06-21,2024-06-21 10:09:56
Starbucks,food delivery,576.39,FOOD_DINING,2024-11-06,2024-11-06 10:09:56
Angel Broking,life insurance premium,25000.0,INVESTMENT,2024-10-14,2024-10-14 10:09:56
Uniqlo Online,clothes purchase,3000.0,SHOPPING,2025-03-04,2025-03-04 10:09:56
Den Networks,electricity bill,800.0,UTILITIES,2025-07-06,2025-07-06 10:09:56
Online Course,Net Banking - school fee,19389.22,EDUCATION,2025-03-12,2025-03-12 10:09:56
Pathology Lab,dental treatment,9147.52,HEALTHCARE,2025-05-21,2025-05-21 10:09:56
Vijay Sales,household items,1000.0,SHOPPING,2024-07-19,2024-07-19 10:09:56
Postal Service,gift purchase,36584.06,MISCELLANEOUS,2024-05-23,2024-05-23 10:09:56
Bikanervala,office lunch,200.0,FOOD_DINING,2024-11-24,2024-11-24 10:09:56
Cinema Hall,concert booking,799.0,ENTERTAINMENT,2024-12-03,2024-12-03 10:09:56
Zee5,concert booking,1499.0,ENTERTAINMENT,2025-07-31,2025-07-31 10:09:56
HP Petrol,auto fare,657.24,TRANSPORTATION,2025-03-22,2025-03-22 10:09:56
VEDANTU,exam fee,75032.8,EDUCATION,2025-07-25,2025-07-25 10:09:56
Airtel,society dues,3196.71,UTILITIES,2025-03-20,2025-03-20 10:09:56
Online Course,educational material,32496.66,EDUCATION,2025-04-10,2025-04-10 10:09:56
Flipkart,Wallet Payment - medicine purchase,12206.61,SHOPPING,2025-09-07,2025-09-07 10:09:56
Courier Service,service fee,100.0,MISCELLANEOUS,2024-08-13,2024-08-13 10:09:56
HP Petrol,petrol payment,133.92,TRANSPORTATION,2024-07-26,2024-07-26 10:09:56
Mumbai Metro,RTGS Transfer - fuel refill,120.0,TRANSPORTATION,2024-05-17,2024-05-17 10:09:56
BSES,broadband payment,500.0,UTILITIES,2024-12-19,2024-12-19 10:09:56
Local Store,Credit Card Payment - household items,45194.1,SHOPPING,2024-08-27,2024-08-27 10:09:56
Seminar Ltd,school fee,91076.59,EDUCATION,2025-03-10,2025-03-10 10:09:56
RelianceDigital,fashion shopping,1000.0,SHOPPING,2024-07-10,2024-07-10 10:09:56
ICICI Direct,IMPS Payment - tax saving investment,2346.62,INVESTMENT,2025-06-13,2025-06-13 10:09:56
Water Park,NEFT Transfer - gaming,453.89,ENTERTAINMENT,2025-02-23,2025-02-23 10:09:56
Shell,uber ride,2360.42,TRANSPORTATION,2025-08-30,2025-08-30 10:09:56
Swiggy,party order,200.0,FOOD_DINING,2024-08-24,2024-08-24 10:09:56
Max Fashion,home appliances,6015.93,SHOPPING,2025-07-18,2025-07-18 10:09:56
Reliance Digital,household items,2190.2,SHOPPING,2025-01-15,2025-01-15 10:09:56
Unacademy,certification cost,58361.74,EDUCATION,2024-10-05,2024-10-05 10:09:56
Bowling Alley,gaming subscription,124.95,ENTERTAINMENT,2024-09-14,2024-09-14 10:09:56
Max Fashion,household items,1812.35,SHOPPING,2024-08-29,2024-08-29 10:09:56
Reliance Digital,clothes purchase,6200.74,SHOPPING,2025-01-23,2025-01-23 10:09:56
Flipkart,Wallet Payment - mobile purchase,12768.88,SHOPPING,2024-06-12,2024-06-12 10:09:56
Health Insurance,medicine purchase,3000.0,HEALTHCARE,2025-08-29,2025-08-29 10:09:56
Bowling Alley,streaming subscription,367.89,ENTERTAINMENT,2025-08-17,2025-08-17 10:09:56
Tiffin Service,food court payment,1970.85,FOOD_DINING,2024-07-30,2024-07-30 10:09:56
YouTube Premium,Net Banking - movie ticket,1180.88,ENTERTAINMENT,2025-01-01,2025-01-01 10:09:56
AIIMS,Mobile Banking - dental treatment,15220.35,HEALTHCARE,2025-09-15,2025-09-15 10:09:56
Donation,NEFT Transfer - cash withdrawal,5000.0,MISCELLANEOUS,2024-11-30,2024-11-30 10:09:56
Chennai Metro,Debit Card Payment - auto fare,425.94,TRANSPORTATION,2025-03-13,2025-03-13 10:09:56
Toll Plaza,Mobile Banking - train ticket,112.18,TRANSPORTATION,2025-10-13,2025-10-13 10:09:56
INOX,netflix pymnt,299.0,ENTERTAINMENT,2024-06-29,2024-06-29 10:09:56
SBI Mutual Fund,systematic investment,968.77,INVESTMENT,2024-11-16,2024-11-16 10:09:56
Physiotherapy,pharmacy,8842.0,HEALTHCARE,2024-10-07,2024-10-07 10:09:56
Air India,monthly pass,942.49,TRANSPORTATION,2024-09-17,2024-09-17 10:09:56
Gaming Zone,show tickets,216.33,ENTERTAINMENT,2025-07-31,2025-07-31 10:09:56
DSP BlackRock,NEFT Transfer - systematic investment,251359.26,INVESTMENT,2025-06-05,2025-06-05 10:09:56
Eye Specialist,pharmacy,10000.0,HEALTHCARE,2024-05-31,2024-05-31 10:09:56
Health Insurance,UPI Payment - medicine purchase,16469.74,HEALTHCARE,2024-09-10,2024-09-10 10:09:56
BSES,phone bill,6470.68,UTILITIES,2025-02-20,2025-02-20 10:09:56
Certification,Mobile Banking - educational material,79888.75,EDUCATION,2024-12-23,2024-12-23 10:09:56
Pharmacy,pharmacy,2000.0,HEALTHCARE,2025-07-19,2025-07-19 10:09:56
Training,tuition fee,2154.6,EDUCATION,2024-10-23,2024-10-23 10:09:56
UTI AMC,Net Banking - share trading,100000.0,INVESTMENT,2024-08-03,2024-08-03 10:09:56
Supermarket,clothes purchase,21439.34,SHOPPING,2024-11-12,2024-11-12 10:09:56
Punjabi Tadka,mess fees,150.0,FOOD_DINING,2024-10-15,2024-10-15 10:09:56
Zomato,food delivery,1574.09,FOOD_DINING,2025-03-26,2025-03-26 10:09:56
Zee5,youtube premium,893.08,ENTERTAINMENT,2024-06-23,2024-06-23 10:09:56
SBI Securities,bond investment,2000.0,INVESTMENT,2024-05-01,2024-05-01 10:09:56
Unacademy,RTGS Transfer - educational material,56715.88,EDUCATION,2025-07-25,2025-07-25 10:09:56
Airtel,dth recharge,1038.89,UTILITIES,2024-11-26,2024-11-26 10:09:56
DSP BlackRock,Mobile Banking - bond investment,301183.78,INVESTMENT,2025-08-11,2025-08-11 10:09:56
College Fee,certification cost,5923.55,EDUCATION,2025-04-21,2025-04-21 10:09:56
Reliance Digital,laptop buying,2164.15,SHOPPING,2024-09-03,2024-09-03 10:09:56
Uber Online,Debit Card Payment - train ticket,3099.37,TRANSPORTATION,2024-05-15,2024-05-15 10:09:56
Vi,phone bill,4895.98,UTILITIES,2024-10-23,2024-10-23 10:09:56
FRANKLIN TEMPLETON,investment,100000.0,INVESTMENT,2024-08-20,2024-08-20 10:09:56
Franklin Templeton,stock purchase,327886.38,INVESTMENT,2024-09-05,2024-09-05 10:09:56
Nykaa,home appliances,2000.0,SHOPPING,2024-09-12,2024-09-12 10:09:56
HDFC Securities,share trading,1000.0,INVESTMENT,2025-07-11,2025-07-11 10:09:56
Pantaloons,Mobile Banking - cosmetics,31982.94,SHOPPING,2025-02-17,2025-02-17 10:09:56
Coaching Center,training program,13797.32,EDUCATION,2024-10-17,2024-10-17 10:09:56
Angel Broking,portfolio investment,100000.0,INVESTMENT,2025-05-07,2025-05-07 10:09:56
Salon,cash withdrawal,100.0,MISCELLANEOUS,2024-05-04,2024-05-04 10:09:56
SBI Mutual Fund,share trading,4645.78,INVESTMENT,2025-04-29,2025-04-29 10:09:56
Udemy,online course,1057.04,EDUCATION,2024-09-11,2024-09-11 10:09:56
HP Petrol,Wallet Payment - ola booking,2786.21,TRANSPORTATION,2025-03-09,2025-03-09 10:09:56
Zara,online shopping,200.0,SHOPPING,2025-03-17,2025-03-17 10:09:56
SBI Securities,tax saving investment,2116.86,INVESTMENT,2024-12-16,2024-12-16 10:09:56
Flight Booking,parking charges,132.73,TRANSPORTATION,2024-10-20,2024-10-20 10:09:56
Medical Store Online,doctor consultation,160.83,HEALTHCARE,2025-08-01,2025-08-01 10:09:56
Physiotherapy,physiotherapy,2000.0,HEALTHCARE,2024-07-12,2024-07-12 10:09:56
Max Hospital,dental treatment,2146.34,HEALTHCARE,2025-06-07,2025-06-07 10:09:56
Maintenance,water bill,6562.57,UTILITIES,2025-03-10,2025-03-10 10:09:56
WBSEDCL,electricity bill,300.0,UTILITIES,2024-08-15,2024-08-15 10:09:56
Videocon D2H,phone bill,1500.0,UTILITIES,2024-04-27,2024-04-27 10:09:56
College Fee,coaching classes,45793.35,EDUCATION,2025-05-18,2025-05-18 10:09:56
Diagnostic Center,medical emergency,2000.2,HEALTHCARE,2024-07-27,2024-07-27 10:09:56
BSES,NEFT Transfer - maintenance charges,1340.92,UTILITIES,2025-06-11,2025-06-11 10:09:56
Certification Pvt Ltd,educational material,1000.0,EDUCATION,2024-10-04,2024-10-04 10:09:56
